      price  quantity  type
0  38603000    0.0849     1
1  38606000    0.0566     1
2  38607000    0.1517     1
3  38609000    0.0051     1
4  38611000    0.0899     1


      price  quantity  type
0  38594000    0.0093     0
1  38592000    0.0885     0
2  38591000    0.0614     0
3  38590000    0.0611     0
4  38588000    0.0838     0
0  38603000    0.0849     1
1  38607000    0.0892     1
2  38609000    0.0684     1
3  38611000    0.0899     1
4  38612000    0.0152     1


      price  quantity  type
0  38594000    0.0093     0
1  38592000    0.0885     0
2  38591000    0.0614     0
3  38590000    0.0611     0
4  38588000    0.0838     0
0  38603000    0.0849     1
1  38607000    0.0892     1
2  38609000    0.0684     1
3  38611000    0.0899     1
4  38612000    0.0152     1


      price  quantity  type
0  38594000    0.0093     0
1  38592000    0.0885     0
2  38591000    0.0614     0
3  38590000    0.0611     0
4  38588000    0.0838     0
0  38603000    0.0849     1
1  38607000    0.0892     1
2  38609000    0.0684     1
3  38611000    0.0899     1
4  38612000    0.0152     1


      price  quantity  type
0  38594000    0.0093     0
1  38592000    0.0885     0
2  38591000    0.0614     0
3  38590000    0.0611     0
4  38588000    0.0838     0
0  38603000    0.0849     1
1  38607000    0.0892     1
2  38609000    0.0684     1
3  38611000    0.0899     1
4  38612000    0.0152     1


      price  quantity  type
0  38594000    0.0093     0
1  38592000    0.0885     0
2  38591000    0.0614     0
3  38590000    0.0611     0
4  38588000    0.0838     0
0  38603000    0.0849     1
1  38607000    0.0892     1
2  38609000    0.0684     1
3  38611000    0.0899     1
4  38612000    0.0152     1


      price  quantity  type
0  38594000    0.0093     0
1  38592000    0.0885     0
2  38591000    0.0614     0
3  38590000    0.0611     0
4  38588000    0.0838     0
0  38603000    0.0823     1
1  38607000    0.0892     1
2  38609000    0.0684     1
3  38611000    0.0899     1
4  38612000    0.0152     1


      price  quantity  type
0  38592000    0.0885     0
1  38591000    0.0614     0
2  38590000    0.0611     0
3  38588000    0.0838     0
4  38587000    0.0525     0
0  38603000    0.0823     1
1  38607000    0.0892     1
2  38609000    0.0684     1
3  38611000    0.0899     1
4  38612000    0.0152     1


      price  quantity  type
0  38609000    0.1993     0
1  38608000    0.0530     0
2  38607000    0.0048     0
3  38606000    0.0892     0
4  38605000    0.1887     0
0  38626000    0.0899     1
1  38627000    0.0490     1
2  38629000    0.0669     1
3  38633000    0.0553     1
4  38634000    0.0545     1


      price  quantity  type
0  38611000    0.2039     0
1  38610000    0.0157     0
2  38609000    0.1357     0
3  38608000    0.0530     0
4  38607000    0.0048     0
0  38626000    0.0899     1
1  38627000    0.0651     1
2  38629000    0.0049     1
3  38631000    0.0608     1
4  38633000    0.0553     1


      price  quantity  type
0  38611000    0.2039     0
1  38610000    0.0157     0
2  38609000    0.0956     0
3  38608000    0.0530     0
4  38607000    0.0048     0
0  38625000    0.5172     1
1  38626000    0.0899     1
2  38627000    0.0651     1
3  38629000    0.0049     1
4  38631000    0.0608     1


      price  quantity  type
0  38611000    0.1756     0
1  38610000    0.0157     0
2  38609000    0.0956     0
3  38608000    0.0530     0
4  38607000    0.0048     0
0  38625000    0.5172     1
1  38626000    0.0899     1
2  38627000    0.0651     1
3  38629000    0.0049     1
4  38631000    0.0608     1


      price  quantity  type
0  38611000    0.1756     0
1  38610000    0.0157     0
2  38609000    0.0956     0
3  38608000    0.0530     0
4  38607000    0.0048     0
0  38625000    0.5172     1
1  38626000    0.0899     1
2  38627000    0.0651     1
3  38629000    0.0049     1
4  38631000    0.0608     1


      price  quantity  type
0  38611000    0.0081     0
1  38610000    0.0157     0
2  38609000    0.0956     0
3  38608000    0.0919     0
4  38607000    0.0048     0
0  38625000    0.5172     1
1  38626000    0.0899     1
2  38627000    0.0651     1
3  38629000    0.0049     1
4  38631000    0.0998     1


      price  quantity  type
0  38611000    0.0081     0
1  38610000    0.0157     0
2  38609000    0.0956     0
3  38608000    1.3279     0
4  38607000    0.0048     0
0  38625000    0.5172     1
1  38626000    0.0899     1
2  38627000    0.0651     1
3  38629000    0.0049     1
4  38631000    0.0998     1


      price  quantity  type
0  38613000    0.0765     0
1  38611000    0.0081     0
2  38610000    0.0157     0
3  38609000    0.0956     0
4  38608000    1.3279     0
0  38625000    0.5172     1
1  38627000    0.0651     1
2  38629000    0.0889     1
3  38631000    0.0608     1
4  38633000    0.0553     1


      price  quantity  type
0  38615000    0.0467     0
1  38613000    0.0765     0
2  38612000    0.0962     0
3  38611000    0.0081     0
4  38610000    0.0157     0
0  38625000    0.3850     1
1  38627000    0.0161     1
2  38629000    0.0889     1
3  38633000    0.0553     1
4  38634000    0.0545     1


      price  quantity  type
0  38616000    0.0845     0
1  38615000    0.0467     0
2  38613000    0.0765     0
3  38612000    0.0962     0
4  38611000    0.0081     0
0  38625000    0.3846     1
1  38627000    0.0161     1
2  38629000    0.0049     1
3  38632000    0.0835     1
4  38633000    0.0553     1


      price  quantity  type
0  38608000    0.1130     0
1  38607000    0.0048     0
2  38603000    0.0056     0
3  38601000    0.0405     0
4  38594000    0.0606     0
0  38625000    0.4701     1
1  38627000    0.0255     1
2  38628000    0.0891     1
3  38629000    0.0049     1
4  38631000    0.0620     1


      price  quantity  type
0  38608000    0.1130     0
1  38607000    0.0048     0
2  38603000    0.0056     0
3  38601000    0.0405     0
4  38594000    0.0606     0
0  38625000    0.4675     1
1  38627000    0.0896     1
2  38628000    0.0891     1
3  38629000    0.0049     1
4  38631000    0.0620     1


      price  quantity  type
0  38608000    0.1130     0
1  38607000    0.0048     0
2  38603000    0.0056     0
3  38601000    0.0405     0
4  38594000    0.0606     0
0  38625000    0.3942     1
1  38627000    0.0896     1
2  38628000    0.0891     1
3  38629000    0.0049     1
4  38632000    0.1231     1


      price  quantity  type
0  38608000    0.1130     0
1  38607000    0.0048     0
2  38603000    0.0056     0
3  38601000    0.0405     0
4  38594000    0.0606     0
0  38625000    0.3942     1
1  38627000    0.0896     1
2  38628000    0.0891     1
3  38629000    0.0049     1
4  38632000    0.1231     1


      price  quantity  type
0  38608000    0.1130     0
1  38607000    0.0048     0
2  38603000    0.0056     0
3  38601000    0.0405     0
4  38594000    0.0606     0
0  38625000    0.3942     1
1  38627000    0.0896     1
2  38628000    0.0891     1
3  38629000    0.0049     1
4  38632000    0.1231     1


      price  quantity  type
0  38608000    0.1130     0
1  38607000    0.0048     0
2  38603000    0.0056     0
3  38601000    0.0405     0
4  38594000    0.0606     0
0  38625000    0.3942     1
1  38627000    0.0896     1
2  38628000    0.0891     1
3  38629000    0.0049     1
4  38632000    0.1231     1


      price  quantity  type
0  38608000    0.1130     0
1  38607000    0.0048     0
2  38604000    1.2360     0
3  38603000    0.0056     0
4  38601000    0.0405     0
0  38625000    0.3942     1
1  38627000    0.0896     1
2  38628000    0.0891     1
3  38629000    0.0049     1
4  38632000    0.1231     1


      price  quantity  type
0  38608000    0.1130     0
1  38607000    0.0048     0
2  38604000    1.2360     0
3  38603000    0.0056     0
4  38601000    0.0405     0
0  38625000    0.3453     1
1  38627000    0.0802     1
2  38628000    0.0891     1
3  38629000    0.0049     1
4  38632000    0.1231     1


      price  quantity  type
0  38608000    0.1130     0
1  38607000    0.0048     0
2  38604000    1.2360     0
3  38603000    0.0056     0
4  38601000    0.0405     0
0  38625000    0.3453     1
1  38627000    0.0802     1
2  38628000    0.0891     1
3  38629000    0.0049     1
4  38632000    0.1231     1


      price  quantity  type
0  38606000    0.0048     0
1  38604000    0.9766     0
2  38603000    0.0056     0
3  38601000    0.0405     0
4  38594000    0.0606     0
0  38625000    0.3453     1
1  38627000    0.0161     1
2  38628000    0.0891     1
3  38629000    0.0049     1
4  38632000    0.1231     1


      price  quantity  type
0  38606000    0.0048     0
1  38604000    0.9766     0
2  38603000    0.0640     0
3  38600000    0.0386     0
4  38594000    0.0048     0
0  38623000    0.0856     1
1  38625000    0.0855     1
2  38627000    0.0161     1
3  38628000    0.1840     1
4  38629000    0.0049     1


      price  quantity  type
0  38606000    0.0739     0
1  38605000    1.2360     0
2  38603000    0.0640     0
3  38600000    0.0386     0
4  38594000    0.0048     0
0  38622000    0.4928     1
1  38625000    0.0855     1
2  38627000    0.0161     1
3  38628000    0.1538     1
4  38629000    0.0049     1


      price  quantity  type
0  38605000    0.2937     0
1  38603000    0.0640     0
2  38594000    0.0048     0
3  38593000    0.0270     0
4  38590000    0.0611     0
0  38625000    0.0855     1
1  38627000    0.0161     1
2  38628000    0.1538     1
3  38629000    0.0049     1
4  38630000    0.0618     1


      price  quantity  type
0  38605000    0.2937     0
1  38603000    0.0640     0
2  38594000    0.0048     0
3  38593000    0.0270     0
4  38590000    0.0611     0
0  38625000    0.0855     1
1  38627000    0.0161     1
2  38628000    0.1538     1
3  38629000    0.0049     1
4  38630000    0.0618     1


      price  quantity  type
0  38607000    0.0053     0
1  38604000    0.0399     0
2  38603000    0.0640     0
3  38598000    1.2360     0
4  38594000    0.0048     0
0  38624000    0.5172     1
1  38625000    0.0855     1
2  38626000    0.0569     1
3  38627000    0.0161     1
4  38628000    0.1538     1


      price  quantity  type
0  38623000    0.0122     0
1  38609000    0.0658     0
2  38608000    0.0402     0
3  38604000    0.0399     0
4  38603000    0.0640     0
0  38624000    0.4958     1
1  38626000    0.0569     1
2  38627000    0.0161     1
3  38628000    0.1445     1
4  38629000    0.0049     1


      price  quantity  type
0  38623000    0.0215     0
1  38621000    0.0410     0
2  38617000    0.0051     0
3  38613000    0.0594     0
4  38609000    0.0270     0
0  38624000    0.4826     1
1  38627000    0.0161     1
2  38632000    0.0835     1
3  38633000    0.0553     1
4  38634000    0.0545     1


      price  quantity  type
0  38623000    0.0037     0
1  38617000    0.0051     0
2  38615000    0.0389     0
3  38613000    0.0594     0
4  38609000    0.0270     0
0  38624000    0.4826     1
1  38627000    0.0161     1
2  38632000    0.0835     1
3  38633000    0.0553     1
4  38634000    0.0545     1


      price  quantity  type
0  38623000    0.0037     0
1  38617000    0.0051     0
2  38615000    0.0389     0
3  38613000    0.0594     0
4  38609000    0.0270     0
0  38624000    0.4826     1
1  38627000    0.0161     1
2  38632000    0.0835     1
3  38633000    0.0553     1
4  38634000    0.0545     1


      price  quantity  type
0  38623000    0.0399     0
1  38622000    0.0270     0
2  38615000    0.0084     0
3  38613000    0.0594     0
4  38609000    1.2360     0
0  38624000    0.4612     1
1  38633000    0.0007     1
2  38637000    0.0756     1
3  38638000    0.0138     1
4  38639000    0.0861     1


      price  quantity  type
0  38624000    0.0385     0
1  38622000    0.0270     0
2  38615000    0.0084     0
3  38613000    0.0594     0
4  38609000    1.2360     0
0  38633000    0.0007     1
1  38637000    0.0756     1
2  38638000    0.0049     1
3  38639000    0.0861     1
4  38644000    0.0572     1


      price  quantity  type
0  38624000    0.0156     0
1  38622000    0.0837     0
2  38621000    0.0396     0
3  38609000    1.2360     0
4  38607000    0.0155     0
0  38642000    0.0155     1
1  38644000    0.0535     1
2  38645000    0.0886     1
3  38646000    0.0581     1
4  38647000    0.0558     1


